station_code;date;DDVEC;FHVEC
330;2020-05-07T00:00:00.000Z;57;2.0
330;2020-05-08T00:00:00.000Z;5;1.7
330;2020-05-09T00:00:00.000Z;30;4.5
330;2020-05-10T00:00:00.000Z;22;10.3
330;2020-05-11T00:00:00.000Z;17;14.9
330;2020-05-12T00:00:00.000Z;299;4.0
330;2020-05-13T00:00:00.000Z;9;8.0
330;2020-05-14T00:00:00.000Z;31;7.3
330;2020-05-15T00:00:00.000Z;343;1.9
330;2020-05-16T00:00:00.000Z;264;5.1
330;2020-05-17T00:00:00.000Z;248;4.4
330;2020-05-18T00:00:00.000Z;237;5.7
330;2020-05-19T00:00:00.000Z;293;2.6
330;2020-05-20T00:00:00.000Z;43;1.6
330;2020-05-21T00:00:00.000Z;87;1.7
330;2020-05-22T00:00:00.000Z;218;9.0
330;2020-05-23T00:00:00.000Z;239;10.1
330;2020-05-24T00:00:00.000Z;262;8.4
330;2020-05-25T00:00:00.000Z;329;3.3
330;2020-05-26T00:00:00.000Z;343;1.6
330;2020-05-27T00:00:00.000Z;12;6.7
330;2020-05-28T00:00:00.000Z;32;7.8
330;2020-05-29T00:00:00.000Z;32;6.1
330;2020-05-30T00:00:00.000Z;54;5.7
330;2020-05-31T00:00:00.000Z;65;6.8
330;2020-06-01T00:00:00.000Z;33;4.9
330;2020-06-02T00:00:00.000Z;320;2.8
330;2020-06-03T00:00:00.000Z;339;5.6
330;2020-06-04T00:00:00.000Z;331;9.1
330;2020-06-05T00:00:00.000Z;264;6.5
330;2020-06-06T00:00:00.000Z;240;11.0
330;2020-06-07T00:00:00.000Z;275;8.5
330;2020-06-08T00:00:00.000Z;356;7.5
330;2020-06-09T00:00:00.000Z;15;5.5
330;2020-06-10T00:00:00.000Z;13;3.6
330;2020-06-11T00:00:00.000Z;51;4.6
330;2020-06-12T00:00:00.000Z;103;4.1
330;2020-06-13T00:00:00.000Z;59;2.8
330;2020-06-14T00:00:00.000Z;281;2.8
330;2020-06-15T00:00:00.000Z;305;1.6
330;2020-06-16T00:00:00.000Z;47;3.1
330;2020-06-17T00:00:00.000Z;20;5.0
330;2020-06-18T00:00:00.000Z;232;1.5
330;2020-06-19T00:00:00.000Z;233;4.5
330;2020-06-20T00:00:00.000Z;262;2.9
330;2020-06-21T00:00:00.000Z;209;5.6
330;2020-06-22T00:00:00.000Z;292;3.3
330;2020-06-23T00:00:00.000Z;26;1.5
330;2020-06-24T00:00:00.000Z;83;4.1
330;2020-06-25T00:00:00.000Z;109;5.5
330;2020-06-26T00:00:00.000Z;133;2.8
330;2020-06-27T00:00:00.000Z;215;7.2
330;2020-06-28T00:00:00.000Z;231;11.5
330;2020-06-29T00:00:00.000Z;233;11.6
330;2020-06-30T00:00:00.000Z;238;9.3
330;2020-07-01T00:00:00.000Z;234;8.3
330;2020-07-02T00:00:00.000Z;251;7.6
330;2020-07-03T00:00:00.000Z;237;9.5
330;2020-07-04T00:00:00.000Z;222;11.5
330;2020-07-05T00:00:00.000Z;234;13.2
330;2020-07-06T00:00:00.000Z;285;9.8
330;2020-07-07T00:00:00.000Z;260;4.7
330;2020-07-08T00:00:00.000Z;244;2.9
330;2020-07-09T00:00:00.000Z;233;8.1
330;2020-07-10T00:00:00.000Z;336;5.2
330;2020-07-11T00:00:00.000Z;314;3.6
330;2020-07-12T00:00:00.000Z;11;3.7
330;2020-07-13T00:00:00.000Z;229;2.0
330;2020-07-14T00:00:00.000Z;326;3.7
330;2020-07-15T00:00:00.000Z;281;3.9
330;2020-07-16T00:00:00.000Z;314;6.4
330;2020-07-17T00:00:00.000Z;258;1.4
330;2020-07-18T00:00:00.000Z;235;3.0
330;2020-07-19T00:00:00.000Z;318;2.7
330;2020-07-20T00:00:00.000Z;343;5.7
330;2020-07-21T00:00:00.000Z;325;5.3
330;2020-07-22T00:00:00.000Z;3;2.8
330;2020-07-23T00:00:00.000Z;220;5.9
330;2020-07-24T00:00:00.000Z;260;5.0
330;2020-07-25T00:00:00.000Z;215;7.1
330;2020-07-26T00:00:00.000Z;240;8.0
330;2020-07-27T00:00:00.000Z;203;6.8
330;2020-07-28T00:00:00.000Z;269;8.6
330;2020-07-29T00:00:00.000Z;277;5.6
330;2020-07-30T00:00:00.000Z;91;1.7
330;2020-07-31T00:00:00.000Z;122;5.3
330;2020-08-01T00:00:00.000Z;240;5.9
330;2020-08-02T00:00:00.000Z;282;3.5
330;2020-08-03T00:00:00.000Z;25;2.1
330;2020-08-04T00:00:00.000Z;274;1.7
330;2020-08-05T00:00:00.000Z;213;5.0
330;2020-08-06T00:00:00.000Z;347;0.6
330;2020-08-07T00:00:00.000Z;85;1.5
330;2020-08-08T00:00:00.000Z;36;2.7
330;2020-08-09T00:00:00.000Z;32;5.2
330;2020-08-10T00:00:00.000Z;78;3.6
330;2020-08-11T00:00:00.000Z;74;1.3
330;2020-08-12T00:00:00.000Z;35;3.7
330;2020-08-13T00:00:00.000Z;306;0.3
330;2020-08-14T00:00:00.000Z;264;1.8
330;2020-08-15T00:00:00.000Z;2;1.7
330;2020-08-16T00:00:00.000Z;89;1.1
330;2020-08-17T00:00:00.000Z;220;1.9
330;2020-08-18T00:00:00.000Z;238;5.4
330;2020-08-19T00:00:00.000Z;170;6.6
330;2020-08-20T00:00:00.000Z;167;4.5
330;2020-08-21T00:00:00.000Z;229;8.5
330;2020-08-22T00:00:00.000Z;233;11.1
330;2020-08-23T00:00:00.000Z;255;8.9
330;2020-08-24T00:00:00.000Z;256;6.6
330;2020-08-25T00:00:00.000Z;202;10.3
330;2020-08-26T00:00:00.000Z;272;13.5
330;2020-08-27T00:00:00.000Z;161;4.6
330;2020-08-28T00:00:00.000Z;228;7.4
330;2020-08-29T00:00:00.000Z;270;4.6
330;2020-08-30T00:00:00.000Z;1;11.2
330;2020-08-31T00:00:00.000Z;15;5.4
330;2020-09-01T00:00:00.000Z;30;1.8
330;2020-09-02T00:00:00.000Z;275;1.1
330;2020-09-03T00:00:00.000Z;217;8.9
330;2020-09-04T00:00:00.000Z;256;6.6
330;2020-09-05T00:00:00.000Z;287;7.3
330;2020-09-06T00:00:00.000Z;275;5.2
330;2020-09-07T00:00:00.000Z;219;6.0
330;2020-09-08T00:00:00.000Z;229;5.7
330;2020-09-09T00:00:00.000Z;276;3.8
330;2020-09-10T00:00:00.000Z;324;1.7
330;2020-09-11T00:00:00.000Z;246;2.9
330;2020-09-12T00:00:00.000Z;249;6.6
330;2020-09-13T00:00:00.000Z;212;4.8
330;2020-09-14T00:00:00.000Z;111;2.6
330;2020-09-15T00:00:00.000Z;42;0.4
330;2020-09-16T00:00:00.000Z;19;8.8
330;2020-09-17T00:00:00.000Z;60;7.4
330;2020-09-18T00:00:00.000Z;77;7.1
330;2020-09-19T00:00:00.000Z;68;5.7
330;2020-09-20T00:00:00.000Z;43;5.2
330;2020-09-21T00:00:00.000Z;15;3.0
330;2020-09-22T00:00:00.000Z;231;1.7
330;2020-09-23T00:00:00.000Z;198;7.1
330;2020-09-24T00:00:00.000Z;203;9.1
330;2020-09-25T00:00:00.000Z;259;7.9
330;2020-09-26T00:00:00.000Z;353;10.2
330;2020-09-27T00:00:00.000Z;11;8.4
330;2020-09-28T00:00:00.000Z;331;8.2
330;2020-09-29T00:00:00.000Z;258;3.0
330;2020-09-30T00:00:00.000Z;171;6.3
330;2020-10-01T00:00:00.000Z;167;6.3
330;2020-10-02T00:00:00.000Z;84;7.7
330;2020-10-03T00:00:00.000Z;141;5.1
330;2020-10-04T00:00:00.000Z;177;10.2
330;2020-10-05T00:00:00.000Z;190;9.5
330;2020-10-06T00:00:00.000Z;242;8.5
330;2020-10-07T00:00:00.000Z;275;9.4
330;2020-10-08T00:00:00.000Z;241;6.3
330;2020-10-09T00:00:00.000Z;264;5.5
