name;x;y;latitude;longitude;elevation;model
WT001;5460193;602431;0;nrel_5MW
WT002;5460068;602863;0;nrel_5MW
WT003;5459988;603307;0;nrel_5MW
WT004;5459857;603706;0;nrel_5MW
WT005;5459734;604120;0;nrel_5MW
WT006;5459560;604541;0;nrel_5MW
WT007;5459502;604996;0;nrel_5MW
WT008;5459453;602783;0;nrel_5MW
WT009;5459353;603180;0;nrel_5MW
WT0010;5459276;603592;0;nrel_5MW
WT0011;5459200;604018;0;nrel_5MW
WT0012;5459121;604475;0;nrel_5MW
WT0013;5459500;602344;0;nrel_5MW
