name;x;y
001;707772.31;5682307.03
002;707787.81;5682579.38
003;708110.69;5682457.74
004;708467.11;5682817.46
005;708439.36;5682503.4
006;708414.5;5682238.47
007;708398.42;5681998.39
008;708374.27;5681750.19
009;708110.39;5681588.01
010;707808.26;5681937.66
011;707829.76;5683026.52
012;707842.53;5683314.34
